"region","x","year"
"AFR",2542035.17029834,2088
"ASIA",8628739.20490396,2088
"AUS",871392.642138784,2088
"EUR",1930070.35172664,2088
"LAM",1822238.94033225,2088
"NAM",3143246.72487175,2088
"WORLD",18689640.0350926,2088
"AFR",2568297.11123914,2089
"ASIA",8646491.53963888,2089
"AUS",871654.362999326,2089
"EUR",1939360.99659554,2089
"LAM",1832729.09336898,2089
"NAM",3155343.06132515,2089
"WORLD",18761606.4530841,2089
"AFR",2594559.12093575,2090
"ASIA",8664244.07357701,2090
"AUS",871916.149804111,2090
"EUR",1948651.71128325,2090
"LAM",1843219.25748742,2090
"NAM",3167439.35014531,2090
"WORLD",18833573.0389253,2090
"AFR",2604772.39259053,2091
"ASIA",8670416.76250714,2091
"AUS",875406.783534726,2091
"EUR",1954884.6678014,2091
"LAM",1854589.56797639,2091
"NAM",3182640.29884703,2091
"WORLD",18885448.0306041,2091
"AFR",2614985.75017713,2092
"ASIA",8676589.21928981,2092
"AUS",878897.161423988,2092
"EUR",1961117.42293328,2092
"LAM",1865960.00019496,2092
"NAM",3197841.02589999,2092
"WORLD",18937322.3735417,2092
"AFR",2625198.95330865,2093
"ASIA",8682762.01127157,2093
"AUS",882387.697084582,2093
"EUR",1967350.21777777,2093
"LAM",1877330.35367288,2093
"NAM",3213041.97909378,2093
"WORLD",18989197.3036866,2093
"AFR",2635412.13178585,2094
"ASIA",8688934.36546905,2094
"AUS",885878.245999515,2094
"EUR",1973583.13639803,2094
"LAM",1888700.5555586,2094
"NAM",3228242.83631017,2094
"WORLD",19041071.6060728,2094
"AFR",2645625.31245864,2095
"ASIA",8695106.91376647,2095
"AUS",889368.775265993,2095
"EUR",1979815.94390708,2095
"LAM",1900070.88626864,2095
"NAM",3243443.77017371,2095
"WORLD",19092946.0998976,2095
"AFR",2655838.59568393,2096
"ASIA",8701279.58530652,2096
"AUS",892859.357193689,2096
"EUR",1986048.88320715,2096
"LAM",1911441.18505637,2096
"NAM",3258644.64948794,2096
"WORLD",19144820.9944289,2096
"AFR",2666051.88669925,2097
"ASIA",8707451.83176524,2097
"AUS",896349.778198933,2097
"EUR",1992281.76803173,2097
"LAM",1922811.5471353,2097
"NAM",3273845.41435947,2097
"WORLD",19196695.2179227,2097
"AFR",2676265.04693446,2098
"ASIA",8713624.47036193,2098
"AUS",899840.446116592,2098
"EUR",1998514.51058208,2098
"LAM",1934181.90950357,2098
"NAM",3289046.35904016,2098
"WORLD",19248570.0769255,2098
"AFR",2686478.22646267,2099
"ASIA",8719797.02662544,2099
"AUS",903330.951546161,2099
"EUR",2004747.35992755,2099
"LAM",1945552.34744709,2099
"NAM",3304247.23920129,2099
"WORLD",19300444.6150533,2099
