case,year,DWT_CLOSS_PgCperyr,WOOD_HARVESTC_PgCperyr,DWT_PROD10C_GAIN_PgCperyr,DWT_PROD100C_GAIN_PgCperyr,NEE_PgCperyr,NPP_PgCperyr,COL_FIRE_CLOSS_PgCperyr,PROD10C_PgC_avg,PROD100C_PgC_avg,TOTVEGC_PgC_avg,TOTSOMC_PgC_avg,TOTECOSYSC_PgC_avg,PBOT_Pa,QBOT_massfrac,co2_ppmv
iesm45_coupled,2045,0.111164841,1.542254016,0.017559206,0.00281362,-0.192510191,49.61313438,2.478510231,5.650118127,6.151943701,575.4965582,516.7479414,1181.704301,91931.13004,0.007545911,522.1920366
iesm45_coupled,2046,0.109357319,1.563179825,0.017548417,0.0029929,-1.101868039,50.56577894,2.686257139,5.699440899,6.247344602,575.573031,517.1702941,1181.993403,91896.55311,0.007613856,526.1955287
iesm45_coupled,2047,0.103981446,1.549193052,0.014466406,0.002762814,-2.144300691,51.28859694,2.555909694,5.73795714,6.341717999,577.3070844,517.1449869,1183.641328,91903.6306,0.007545651,529.5408473
iesm45_coupled,2048,0.100384578,1.561728284,0.013916744,0.002219654,-2.462718294,51.3561499,2.409169273,5.765833728,6.434758014,579.7206543,516.9912137,1186.30087,91908.16459,0.007495101,532.0922323
iesm45_coupled,2049,0.089201336,1.570346392,0.011186339,0.001740187,-1.034255996,50.45267463,2.554738213,5.793379366,6.528166981,580.6378106,517.1986506,1188.008838,91924.24026,0.007540872,535.4942486
iesm45_coupled,2050,0.156367576,1.566055783,0.01643845,0.003225337,-1.999790245,51.07979799,2.513505675,5.817782314,6.620787154,582.0666129,517.2870911,1189.526445,91902.89177,0.007613192,538.7344029
iesm45_coupled,2051,0.147259863,1.568759173,0.014535193,0.002819392,-1.956180515,51.6085123,2.459112665,5.837592939,6.711791277,583.1905957,517.3772104,1191.253656,91885.72461,0.007569617,541.7174504
iesm45_coupled,2052,0.14481115,1.579832653,0.013856633,0.002841465,-3.055911077,51.91058835,2.224148567,5.857655225,6.801469812,585.6751014,517.4183224,1193.698172,91897.48804,0.007457364,544.3448766
iesm45_coupled,2053,0.143046103,1.597883608,0.013901451,0.003019091,-0.604125682,50.3309046,2.494087477,5.885618474,6.89090175,586.7216161,517.673219,1195.908194,91880.11502,0.007469136,547.4351316
iesm45_coupled,2054,0.126915477,1.610753789,0.011248637,0.002525827,-1.803223107,51.82710578,2.393597895,5.918719101,6.980152617,586.874078,518.2133755,1196.483877,91939.11296,0.007601696,550.8931993
iesm45_coupled,2055,0.142842924,1.631792952,0.017597136,0.004076104,-2.296642106,51.55869402,2.701711166,5.959765365,7.070897078,589.988664,518.0185792,1199.128983,91902.19452,0.007543072,552.9878014
iesm45_coupled,2056,0.13422842,1.645396197,0.015235604,0.003631009,-2.614297516,51.99464311,2.359682765,6.006557292,7.162628092,592.0698162,517.9757807,1201.458548,91914.63159,0.007583546,555.6789677
iesm45_coupled,2057,0.136173142,1.671087501,0.013825615,0.003311232,-2.127265584,51.76398081,2.316275775,6.058115638,7.254595012,594.5026623,517.9120432,1204.271541,91870.35817,0.007517711,558.2132864
iesm45_coupled,2058,0.137860011,1.714282129,0.014911722,0.003524904,-1.661327697,51.7392763,2.248356993,6.124487986,7.349235388,595.661654,518.2359812,1205.908478,91877.11092,0.007542441,560.912169
iesm45_coupled,2059,0.113488166,1.780851593,0.009893569,0.002105969,-0.266069552,50.4563785,2.811465268,6.217298761,7.450974412,595.4776679,518.6366923,1206.924585,91913.40796,0.007589522,563.9581721
iesm45_coupled,2060,0.113043289,1.835126124,0.021392638,0.004194768,-1.548673183,52.26278222,2.756764872,6.336342577,7.563844623,595.4473555,518.9460848,1207.63177,91904.64355,0.007722661,566.9334458
iesm45_coupled,2061,0.11561876,1.823025554,0.02140804,0.004130272,-3.608118099,53.08664491,2.478564051,6.448524508,7.680815587,598.3888703,518.7261694,1210.246109,91897.51357,0.007606649,568.6302545
iesm45_coupled,2062,0.105638604,1.828146031,0.017855202,0.003598246,-2.187003418,52.02103718,2.485493908,6.533052393,7.794697289,601.0269697,518.6166804,1213.343916,91877.14473,0.007521917,570.4551281
iesm45_coupled,2063,0.097473255,1.891629744,0.015842817,0.003102754,-0.577452698,50.69852905,2.629333539,6.622499191,7.913488969,601.2738062,518.9808876,1214.65714,91912.45534,0.007491095,572.9611486
iesm45_coupled,2064,0.090854704,1.917603402,0.013209815,0.002950164,-0.548016606,51.26133859,2.863628851,6.724257491,8.038134776,600.76049,519.3309065,1215.219726,91907.62246,0.007653641,575.8927855
iesm45_coupled,2065,0.179030204,1.935101022,0.053599226,0.007318092,-1.53749694,52.28235271,2.815950528,6.838142891,8.165619738,602.1339736,519.3195439,1216.403511,91918.62795,0.00778722,578.2381221
iesm45_coupled,2066,0.171654646,1.951117867,0.05220109,0.007561473,-2.028530979,52.94088947,2.533161042,6.956877701,8.297025901,603.6170388,519.1669082,1218.159679,91894.6385,0.007711894,580.0980018
iesm45_coupled,2067,0.165174302,1.954957031,0.048309084,0.006731567,-2.370378431,52.77980361,2.507248188,7.055483259,8.428144475,605.8621906,518.9678263,1220.466855,91891.81499,0.007589594,581.4393843
iesm45_coupled,2068,0.161010543,1.968549721,0.047258985,0.006142895,-1.527524693,52.04518359,2.407933059,7.137533637,8.556809799,607.4175788,519.028088,1222.364049,91902.42436,0.007574705,583.088621
iesm45_coupled,2069,0.143260104,1.973480746,0.040375757,0.004987043,-1.122381972,51.96423071,2.495728096,7.207967233,8.683470858,608.357532,519.1377783,1223.760511,91903.45337,0.007696916,584.8298119
iesm45_coupled,2070,0.13293737,1.98059008,0.030153673,0.006003014,-0.217199037,51.53179858,2.670204041,7.258281904,8.809690805,607.9546394,519.4365374,1224.547044,91936.27045,0.007690421,586.9151118
iesm45_coupled,2071,0.12281262,2.085515663,0.026932934,0.005641901,-0.720604154,52.21472889,2.779818602,7.331831242,8.947826639,607.6123951,519.860745,1224.46219,91917.54122,0.007989116,589.2349151
iesm45_coupled,2072,0.120174556,2.106957613,0.026605757,0.005555712,-2.705839292,53.45654554,2.614956039,7.429470654,9.099106831,609.6250419,519.5571593,1226.394238,91926.43001,0.007809789,590.0895059
iesm45_coupled,2073,0.110445322,2.096694571,0.021796986,0.005478109,-1.637540851,52.97393567,2.612062199,7.505084339,9.249177122,611.4305858,519.4723163,1228.956306,91898.09481,0.007680076,591.0290474
iesm45_coupled,2074,0.102305394,2.093698626,0.02102106,0.005003188,0.362649059,51.50647637,2.693609625,7.558290921,9.393785495,610.9821878,519.8848149,1229.504805,91920.5402,0.007740949,592.6040729
iesm45_coupled,2075,0.162439303,2.093629654,0.052789461,0.008959098,-0.685333273,52.53580915,2.58153465,7.617734123,9.534856912,610.553684,520.2777522,1229.531993,91963.07097,0.007864481,594.7506376
iesm45_coupled,2076,0.153065395,2.067172896,0.050391259,0.008685756,-0.9235097,52.35321122,2.705846776,7.668468136,9.671182855,611.9883972,520.2693336,1230.665388,91945.8093,0.007901142,596.2005611
iesm45_coupled,2077,0.152634141,2.05511963,0.049061038,0.0083831,-2.005921733,54.01673947,2.496295607,7.69181328,9.800256514,613.1620639,520.2568977,1231.788661,91909.43532,0.007858236,597.2086153
iesm45_coupled,2078,0.137798129,2.04251448,0.043863323,0.007661894,-0.677522043,52.08207601,2.628904955,7.701328352,9.922699295,614.2535223,520.2531658,1233.393523,91914.30765,0.007708792,598.1926764
iesm45_coupled,2079,0.117021898,2.060320948,0.034643071,0.006251969,1.046151055,51.07425074,3.134678019,7.706968416,10.0383245,612.9418722,520.6638939,1233.523063,91925.21583,0.007807633,600.0964369
iesm45_coupled,2080,0.079699113,2.063640582,0.023071849,0.004009531,-2.449714822,54.20454319,2.655014252,7.714234427,10.14749332,612.8280535,520.8620889,1233.29284,91895.54148,0.008032122,601.8725459
iesm45_coupled,2081,0.081831466,2.057446984,0.022018509,0.003937142,-3.494587925,53.91745556,2.348577286,7.713543486,10.25126604,617.1785377,520.2913388,1236.672229,91881.03509,0.007715691,601.6296318
iesm45_coupled,2082,0.077130125,2.067874477,0.019103463,0.003474171,0.45525282,51.33162857,2.650448972,7.714151198,10.35136945,618.0004049,520.3614122,1238.676143,91949.62141,0.007836551,603.0671313
iesm45_coupled,2083,0.071867332,2.07871557,0.017668155,0.003111695,1.656833525,51.37502676,2.858261482,7.722614931,10.44926133,614.9769119,521.3049888,1237.15773,91925.26061,0.007918151,605.7002427
iesm45_coupled,2084,0.066757227,2.073004388,0.016212656,0.002826412,-1.446056945,52.76149826,2.8285015,7.730914783,10.54476496,615.2737783,521.4901637,1237.086513,91917.89598,0.007846012,607.0329528
iesm45_coupled,2085,0.106339083,2.068843076,0.036210481,0.005940297,-2.360768541,53.27499683,2.738987101,7.741174764,10.63944946,617.3949645,521.2364758,1239.177225,91935.37034,0.007782885,607.8248849
