case,year,TREFHT_K,TS_K,PRECT_mmperyr,QREFHT_massfrac,RHREFHT_percent,LHFLX_Wperm2,SHFLX_Wperm2,FLNS_Wperm2,FLNT_Wperm2,FSNS_Wperm2,FSNT_Wperm2,FLDVG_Wperm2,FSDVG_Wperm2,RESTOM_Wperm2
iESM_coupled,2024,287.8737968,288.6481626,1119.050302,0.010399426,77.89342615,88.75535268,18.30714624,53.3946718,236.7912395,162.9255509,238.3324395,-183.3965677,75.4068886,1.541200019
iESM_coupled,2025,288.1152453,288.8947986,1130.229638,0.010545889,77.88248337,89.73517716,18.33605596,53.18819378,237.282222,163.3770057,238.8794423,-184.0940283,75.50243664,1.597220282
iESM_coupled,2026,288.2413495,289.0233994,1141.329204,0.010702404,78.08095495,90.46072177,18.20041066,52.60085569,237.6315945,162.9712561,238.463491,-185.0307388,75.49223496,0.831896568
iESM_coupled,2027,288.0541546,288.830804,1126.099184,0.010509231,77.97112727,89.30515624,18.22322345,53.07169097,236.8578952,162.9452333,238.3448915,-183.7862043,75.39965822,1.486996299
iESM_coupled,2028,288.0811952,288.8564456,1125.514885,0.010534966,77.96692232,89.32928021,18.12991094,53.15263401,236.7451649,163.3369721,238.7934121,-183.5925309,75.45644,2.048247176
iESM_coupled,2029,288.2293089,289.0095104,1133.203584,0.010685589,78.0359694,89.94540263,18.39386959,52.673693,237.2007721,162.8718509,238.5760587,-184.5270791,75.7042078,1.375286572
iESM_coupled,2030,288.3787449,289.1514723,1141.010125,0.010812723,78.099595,90.43588417,18.09804216,52.24628521,237.6153773,162.5378859,238.3033996,-185.3690921,75.76551375,0.688022289
iESM_coupled,2031,288.1876143,288.9453799,1133.026091,0.010590605,78.00023724,89.8738772,17.9176314,52.8248754,236.8956927,162.9154697,238.3992155,-184.0708173,75.48374582,1.503522805
iESM_coupled,2032,288.3045104,289.0871664,1127.572568,0.010661204,77.87806998,89.53174769,18.20986,53.0648944,236.9606752,163.8992237,239.4221739,-183.8957808,75.52295028,2.461498735
iESM_coupled,2033,288.6565374,289.4333025,1144.694149,0.010914184,77.98429368,90.79291236,18.32437041,52.18571306,237.9902422,163.1204961,239.1504223,-185.8045291,76.02992617,1.160180113
iESM_coupled,2034,288.5209532,289.2929011,1139.835575,0.010794032,77.90078193,90.39178035,18.14137316,52.53141447,237.7957589,163.2728074,239.1034409,-185.2643444,75.83063349,1.307682047
iESM_coupled,2035,288.4978484,289.2776555,1133.950447,0.010733783,77.79512126,89.93540774,18.25127576,52.77885252,237.3775143,163.3134935,239.092386,-184.5986618,75.77889241,1.714871678
iESM_coupled,2036,288.6548176,289.4257113,1141.954581,0.010868308,77.89863191,90.61535245,18.15093585,52.50755121,237.9115326,163.4373749,239.3569714,-185.4039814,75.91959651,1.445438725
iESM_coupled,2037,288.6907809,289.4544007,1151.503219,0.010939238,78.04064801,91.25627616,17.93711821,51.97422898,237.9816904,162.9929184,238.9119517,-186.0074614,75.91903331,0.93026129
iESM_coupled,2038,288.4935772,289.2556437,1133.046287,0.010735821,77.8748335,89.86250528,18.06136437,52.58718598,237.3312505,163.105782,239.0029625,-184.7440645,75.89718056,1.671712032
iESM_coupled,2039,288.4075768,289.1687437,1129.703593,0.010713008,77.87626621,89.62542719,18.05892873,52.75690379,236.8825515,163.6085214,239.3227949,-184.1256477,75.71427345,2.440243419
iESM_coupled,2040,288.6851308,289.4534377,1139.639475,0.010875544,77.97238478,90.4674646,18.21223882,52.38363219,237.4710153,163.8285788,239.6907995,-185.0873831,75.86222068,2.219784229
iESM_coupled,2041,288.8734864,289.6435229,1145.063643,0.011012606,77.801228,90.8620907,18.30098747,52.13565754,238.0729943,163.35512,239.4780342,-185.9373368,76.12291422,1.405039931
iESM_coupled,2042,288.9769547,289.745293,1144.802187,0.011015712,77.7174437,90.78060412,18.22325166,52.2107461,238.0142641,163.5922639,239.7021808,-185.803518,76.10991694,1.687916713
iESM_coupled,2043,288.9748634,289.7439951,1146.800539,0.011031155,77.78602196,90.95669027,18.19533375,52.14369066,238.1173864,163.5642491,239.6727785,-185.9736958,76.10852947,1.555392087
iESM_coupled,2044,288.8287313,289.586461,1140.488707,0.01092586,77.72998538,90.44407379,18.08584124,52.28831862,237.7546122,163.5455035,239.6542821,-185.4662936,76.10877862,1.899669835
iESM_coupled,2045,288.9502722,289.7170522,1137.698608,0.011000109,77.66766433,90.28674985,18.32730623,52.49298221,238.0374162,164.0651312,240.2134278,-185.544434,76.14829656,2.176011531
iESM_coupled,2046,289.0655366,289.8252739,1155.699854,0.011195677,78.02921993,91.71102476,18.06077862,51.43903996,238.085699,163.1925447,239.6252411,-186.646659,76.43269648,1.539542148
iESM_coupled,2047,288.9974899,289.7476647,1151.007194,0.011099338,77.90912644,91.23229848,17.98399468,51.74952234,238.2036659,163.2144991,239.5038828,-186.4541435,76.28938371,1.30021692
iESM_coupled,2048,288.8664009,289.6203576,1138.707957,0.01093489,77.73665314,90.32053616,18.06124333,52.25624602,237.5649503,163.9266835,239.9873429,-185.3087043,76.06065943,2.422392613
