case,year,SFCO2_PgCperyr,SFCO2_FFF_PgCperyr,SFCO2_LND_PgCperyr,SFCO2_OCN_PgCperyr,TMCO2_PgC_avg,TMCO2_FFF_PgC_avg,TMCO2_LND_PgC_avg,TMCO2_OCN_PgC_avg,BURDENBC_PgC_avg,co2vmr_ppmv_avg,ch4vmr_ppmv_avg,co2vmr_PgC_avg,ch4vmr_PgC_avg,TMCO2_ppmv_avg
iesm85_coupled,2049,14.47271217,17.50658297,0.992013126,-4.02588393,1209.257887,1434.631936,637.9203496,335.1150366,6.85E-05,537.9453241,2.723315528,1148.077451,5.812072362,566.612144
iesm85_coupled,2050,14.49661943,17.77246376,0.929767214,-4.205611535,1224.204412,1452.272242,639.3945171,330.9470883,6.81E-05,543.6733985,2.759897521,1160.30225,5.890145281,573.6155157
iesm85_coupled,2051,11.51458726,17.94976847,-2.442619105,-3.992562107,1237.169791,1470.133903,638.5863824,326.8589405,6.63E-05,549.5125771,2.796515229,1172.764165,5.968294421,579.6905979
iesm85_coupled,2052,13.848297,18.12622658,-0.30128184,-3.976647735,1249.306683,1488.172033,636.6024818,322.9416027,6.66E-05,555.4622802,2.832541862,1185.461961,6.045182096,585.3774828
iesm85_coupled,2053,15.81585936,18.30268468,1.718901922,-4.205727239,1264.171217,1506.386622,637.3518841,318.8421457,6.72E-05,561.5170728,2.867665742,1198.384038,6.120143125,592.3424365
iesm85_coupled,2054,13.93673254,18.47914279,-0.283321885,-4.259088366,1279.266111,1524.777668,638.3317799,314.5660976,6.50E-05,567.6735754,2.901847911,1211.523184,6.193094362,599.4153284
iesm85_coupled,2055,13.07088023,18.65566886,-1.379665871,-4.205122771,1292.641227,1543.345174,637.3475092,310.3579789,6.64E-05,573.9438814,2.935155816,1224.905207,6.264179756,605.6823979
iesm85_coupled,2056,14.64627591,18.83721682,-0.047902241,-4.143038663,1306.209862,1562.09173,636.2965776,306.230989,6.49E-05,580.3435008,2.967719107,1238.56321,6.333676,612.0401428
iesm85_coupled,2057,15.95371207,19.0188128,1.222535254,-4.287635973,1321.808442,1581.019881,637.1899384,302.0080576,6.60E-05,586.8802919,2.999651532,1252.513963,6.401825857,619.3490431
iesm85_coupled,2058,14.98943702,19.2004088,-0.078559324,-4.132412462,1337.367241,1600.129629,637.8467964,297.8002508,6.53E-05,593.5570773,3.031063493,1266.763491,6.468864947,626.639303
iesm85_coupled,2059,11.95872077,19.38200479,-3.248342111,-4.174941898,1351.155967,1619.420972,636.5609095,293.58352,6.30E-05,600.3701387,3.062031059,1281.303857,6.534955612,633.1001742
iesm85_coupled,2060,14.5805268,19.5644231,-0.998646652,-3.985249643,1363.906446,1638.893924,633.8540207,289.5679354,6.36E-05,607.3101986,3.092570677,1296.115263,6.600132954,639.0745625
iesm85_coupled,2061,16.35155899,19.80759097,0.788079521,-4.244111495,1379.732121,1658.579833,634.0853551,285.4763676,6.37E-05,614.3564867,3.122374344,1311.153379,6.663739639,646.4898704
iesm85_coupled,2062,15.90093135,20.05133993,0.121815369,-4.272223935,1395.371115,1678.509483,634.0738702,281.1971973,6.51E-05,621.4829844,3.150911109,1326.362678,6.724642511,653.8177071
iesm85_coupled,2063,13.42253249,20.29508887,-2.382275872,-4.490280507,1410.647739,1698.682881,633.6371892,276.7371028,6.18E-05,628.6807153,3.178004995,1341.724002,6.782466009,660.9757503
iesm85_coupled,2064,15.51757618,20.53883784,-0.762727979,-4.258533682,1424.672689,1719.100029,631.5766617,272.4054331,6.03E-05,635.946846,3.203682519,1357.231305,6.837266719,667.5473075
iesm85_coupled,2065,15.91981981,20.7810237,-0.485318996,-4.375884891,1440.674241,1739.760902,631.2865809,268.0361931,6.07E-05,643.2786226,3.22793121,1372.878708,6.889018029,675.0450246
iesm85_coupled,2066,16.59441793,20.90772256,-0.007102538,-4.306202086,1456.967961,1760.605907,631.002537,263.7689521,6.12E-05,650.6860682,3.250856797,1388.687603,6.937945585,682.6796407
iesm85_coupled,2067,16.66933681,21.03331704,-0.096620177,-4.267360061,1473.291645,1781.576521,630.652085,259.4724744,6.29E-05,658.1863614,3.272634725,1404.694653,6.984423818,690.3282968
iesm85_coupled,2068,17.18705899,21.15891152,0.481414244,-4.453266769,1490.712364,1802.672729,631.3539813,255.0950886,6.17E-05,665.7942398,3.293420776,1420.93131,7.028785198,698.4909813
iesm85_coupled,2069,15.2222424,21.28450599,-1.823057391,-4.239206194,1506.38258,1823.894531,630.1818217,250.715662,6.19E-05,673.5153231,3.313363693,1437.409567,7.071347167,705.8334474
iesm85_coupled,2070,17.50202928,21.40964294,0.57832295,-4.48593662,1522.606644,1845.241922,629.3594024,246.4147553,6.12E-05,681.3444179,3.332571626,1454.118342,7.112340544,713.4354252
iesm85_coupled,2071,18.79331632,21.51050975,1.771835153,-4.48902859,1541.178269,1866.699092,630.9699685,241.9186435,6.08E-05,689.2595509,3.351148104,1471.010739,7.151986275,722.1373805
iesm85_coupled,2072,17.48144929,21.64294407,0.413550817,-4.575045593,1559.138023,1888.278777,631.9334994,237.3351809,6.16E-05,697.2313466,3.369222674,1488.024064,7.19056084,730.5526366
iesm85_coupled,2073,16.4490718,21.75938367,-0.81633933,-4.493972538,1576.16037,1909.980028,631.7325986,232.8571781,5.94E-05,705.2480336,3.386865839,1505.133196,7.228214702,738.5286595
iesm85_coupled,2074,16.04960789,21.87582327,-1.451911864,-4.374303512,1592.151428,1931.797719,630.3371231,228.4260204,5.96E-05,713.3106419,3.404097596,1522.340333,7.264990543,746.0214594
iesm85_coupled,2075,17.33986225,21.99358921,-0.345598193,-4.30812877,1609.306754,1953.73187,629.9201849,224.0641349,5.90E-05,721.4143699,3.420861016,1539.635227,7.300766865,754.0597914
iesm85_coupled,2076,18.4368605,22.20935316,0.584597082,-4.357089759,1626.77724,1975.833048,629.6019521,219.7516748,6.27E-05,729.5620308,3.437063104,1557.023882,7.335345196,762.245795
iesm85_coupled,2077,16.91697255,22.42605425,-1.216192091,-4.29288961,1644.854872,1998.150915,629.7364003,215.3769912,6.04E-05,737.7578128,3.452743967,1574.515237,7.368811134,770.7162841
iesm85_coupled,2078,18.36374026,22.64275531,0.149854317,-4.428869367,1661.964055,2020.685484,628.6015878,211.0864176,6.03E-05,746.0095036,3.468026822,1592.125912,7.401427649,778.7329948
iesm85_coupled,2079,18.05507212,22.85945638,-0.384931958,-4.419452305,1680.432401,2043.436754,628.8302089,206.574873,5.99E-05,754.3428478,3.483019063,1609.91085,7.433423937,787.3865577
iesm85_coupled,2080,17.26515515,23.07422591,-1.452725455,-4.356345302,1698.088791,2066.404694,627.8793808,202.2141503,6.07E-05,762.7662973,3.497821823,1627.888091,7.465015837,795.6596689
iesm85_coupled,2081,21.85094244,23.14384893,3.242147864,-4.535054367,1717.82762,2089.513363,628.8698243,197.8538671,6.14E-05,771.2651831,3.512577246,1646.026327,7.496506711,804.9085317
iesm85_coupled,2082,16.30197848,23.21695899,-2.441988966,-4.47299155,1737.04722,2112.694905,629.5306631,193.2310867,5.84E-05,779.8205817,3.527423117,1664.285172,7.528190618,813.9141036
iesm85_coupled,2083,16.71644524,23.28764324,-2.408714061,-4.162483925,1752.93021,2135.947258,626.4197663,188.9726202,5.63E-05,788.4178145,3.542383457,1682.633299,7.560118824,821.3562671
iesm85_coupled,2084,20.68681537,23.35832747,1.684512198,-4.356024306,1771.662467,2159.270296,626.0539065,184.7476999,5.88E-05,797.0531231,3.557425757,1701.062687,7.592221948,830.1334888
iesm85_coupled,2085,19.7518115,23.430742,0.821095478,-4.500025972,1792.317209,2182.664044,627.7417778,180.3208215,5.90E-05,805.7293483,3.572529386,1719.579398,7.62445596,839.8115132
iesm85_coupled,2086,16.68064395,23.63098386,-2.608583212,-4.341756697,1810.52119,2206.194465,626.9501144,175.7860459,5.71E-05,814.4314921,3.587594781,1738.151425,7.656608374,848.3412047
iesm85_coupled,2087,18.06334525,23.83244847,-1.542885705,-4.226217505,1827.717259,2229.926333,624.5814396,171.6189207,5.79E-05,823.1538949,3.602486467,1756.766689,7.688390058,856.398627
iesm85_coupled,2088,18.88458029,24.03391305,-0.873941448,-4.275391313,1845.911645,2253.859667,623.1008118,167.3606018,5.75E-05,831.9234588,3.617213219,1775.482603,7.719819743,864.923823
iesm85_coupled,2089,19.86651619,24.23537766,-0.006330144,-4.362531322,1865.79026,2277.994465,623.1886373,163.0165931,5.67E-05,840.7493043,3.63187607,1794.318633,7.751113051,874.2381841
iesm85_coupled,2090,20.64791596,24.44493575,0.651665592,-4.4486854,1885.789226,2302.330853,623.1707854,158.6970228,5.93E-05,849.6370071,3.646564813,1813.286678,7.782461618,883.608937
iESM85_uncoupled,2006,4.382213224,7.90725922,-1.139418917,-2.385627079,844.4040088,916.5230166,654.5434063,471.7470206,8.23E-05,381.88382,1.756426362,815.0125731,3.748547318,395.6555262
iESM85_uncoupled,2007,6.137675244,7.92480267,0.720703451,-2.507830879,849.3741698,924.4407715,654.0775907,469.2652422,8.14E-05,383.8730802,1.760956865,819.2580321,3.758216271,397.9843542
iESM85_uncoupled,2008,3.804617058,7.940418864,-1.666160291,-2.469641519,854.9857837,932.3741673,654.2452617,466.7757893,7.95E-05,385.9983803,1.767223888,823.793826,3.771591288,400.6137425
iESM85_uncoupled,2009,4.115843847,7.956035063,-1.634005159,-2.206186058,858.2432249,940.3231793,651.9020994,464.4273808,8.01E-05,388.264619,1.774902009,828.6304096,3.787977855,402.1400553
iESM85_uncoupled,2010,6.003469202,7.974295167,0.43119317,-2.402019141,863.5934019,948.2878485,651.5835185,462.1314695,7.99E-05,390.5775666,1.783741132,833.566679,3.806842222,404.6469442
iESM85_uncoupled,2011,5.190432703,8.182295187,-0.611089052,-2.380773431,869.4279518,956.3653468,651.7492628,459.7227769,8.25E-05,392.9221908,1.793761946,838.5705522,3.828228541,407.3807919
iESM85_uncoupled,2012,5.348972458,8.392255593,-0.544366278,-2.498916858,874.4257999,964.6527804,650.8749198,457.3075344,8.12E-05,395.3386327,1.805061479,843.7276979,3.852343891,409.722593
iESM85_uncoupled,2013,5.63541251,8.602216007,-0.515284836,-2.451518665,879.9882052,973.1501744,650.4375832,454.8098822,8.05E-05,397.8398588,1.817633822,849.0657892,3.879175656,412.328924
iESM85_uncoupled,2014,5.408024353,8.812176422,-0.832165371,-2.571986704,885.562654,981.8575289,649.7528343,452.3617254,8.06E-05,400.425396,1.831407232,854.5838165,3.90857073,414.9408982
iESM85_uncoupled,2015,6.315058419,9.021738851,0.117495785,-2.824176214,891.3863165,990.7748375,649.3869615,449.6339521,7.98E-05,403.0906589,1.846301744,860.2719935,3.940358445,417.6696444
iESM85_uncoupled,2016,6.293675477,9.201884996,0.029541144,-2.937750662,898.0183337,999.8869219,649.8594415,446.6814049,7.78E-05,405.8274496,1.862213468,866.1128244,3.974317086,420.7771549
